rep,est_E,se_E,IRR_E,IRR_E_CI_Lower,IRR_E_CI_Upper,est_C,IRR_C,IRR_C_CI_Lower,IRR_C_CI_Upper,n_event
1,1.03744631381422,0.0972068591229347,2.82200129920282,2.33246202054678,3.41428553286179,1.44232368276937,4.23051477879931,3.45184592977969,5.18483607255949,1162
2,1.00806052301405,0.0954359473937034,2.74028114558546,2.27279307191181,3.30392627892633,1.55565474086511,4.73818779496054,3.86885300570558,5.80286290205502,1186
3,0.918167283545316,0.102159959919863,2.50469578374032,2.05020018876841,3.05994556212344,1.74846303219195,5.74576483042645,4.72207685827198,6.99137571823571,1155
4,0.918749384116822,0.0966870724608156,2.50615419301674,2.07351701027317,3.02906067712844,1.60742669746744,4.98995403085476,4.08743873102065,6.09174665813916,1229
5,0.915263520348205,0.100208617873201,2.49743328968803,2.05208887623551,3.03942636631014,1.40887189856246,4.09133735619472,3.31052021516625,5.05631751937625,1171
6,0.868516895346484,0.100865022973189,2.38337343875645,1.95585039403296,2.90434737027949,1.773039081294,5.88872250114391,4.84068912278572,7.16366034171651,1188
7,0.871883685497527,0.101155414889325,2.3914112802465,1.96132980568661,2.91580125622379,1.67446298235319,5.33592889154975,4.37941020893118,6.50136337482396,1168
8,1.00494868551436,0.0966896341015623,2.73176709000615,2.2601710245416,3.30176404927331,1.62106714270907,5.05848556329053,4.13425720540998,6.18932855956195,1142
9,0.93420841725036,0.0991026336891226,2.54519792534179,2.0958743653079,3.09084961693898,1.49042953856514,4.43900183203444,3.6026245338345,5.4695506233707,1180
10,0.886469823935986,0.100570620946936,2.42654837050988,1.99243005908771,2.95525404646837,1.44848969309364,4.25668076356667,3.47446855469048,5.21499355590876,1174
11,0.928813325900374,0.097807922373537,2.53150332505794,2.08989394494878,3.06642789231893,1.3837584691354,3.98986928269345,3.23342782897578,4.92327577264134,1193
12,0.68686023960645,0.10790501983549,1.98746556101783,1.60860973445623,2.45554858436012,1.60061786841925,4.95609369234269,4.05206266338722,6.06181757977707,1176
13,1.01887618667386,0.0936448711812167,2.77007996128877,2.30558770094486,3.32815055735637,1.44281974977182,4.23261391819828,3.4379234562269,5.2110004218033,1212
14,1.01842799695207,0.0972833974348105,2.76883871809858,2.28817839812434,3.35046771402359,1.56079616767981,4.76261157347548,3.85237640874552,5.88791607910114,1138
15,1.15464402036401,0.0913450197971165,3.17289373091144,2.65278775851213,3.79497175955892,1.76452132595624,5.838776818153,4.80463285463904,7.09550880652297,1164
16,1.00847709458387,0.0929045206379369,2.74142290660008,2.28504925550276,3.28894422504608,1.52399471578432,4.59052646514747,3.78004730228655,5.57478029824449,1243
17,1.0382969416527,0.0948167962938316,2.82440279331221,2.34540814498439,3.40122087318962,1.52765333877845,4.60735223162762,3.74350067142965,5.67054648828928,1201
18,1.02002587721522,0.0969225347490389,2.77326652745057,2.2934590952457,3.35345297774052,1.70263755010104,5.48840425919848,4.49932658971793,6.69490882951807,1150
19,1.04168919357361,0.0941255683353659,2.83400014823272,2.35656834474673,3.40815782325476,1.6528382284463,5.22177941781934,4.28797775178562,6.35893697839433,1196
20,1.28869093920419,0.0861027155587237,3.62803412857983,3.06464799990647,4.29498971449305,1.81771739585264,6.1577866065228,5.09272435766869,7.44558967429165,1236
21,0.927252950484397,0.0984418580005057,2.52755630971774,2.08404445290491,3.06545327758682,1.63144125087739,5.11123598589518,4.22517905008396,6.18310679709318,1215
22,1.05168170767484,0.0934009735171026,2.86246089506633,2.38361719432665,3.43749927433233,1.57813132141188,4.84589193064404,3.95838783859558,5.93238195977596,1181
23,0.986630789358315,0.0960483497988453,2.6821823942676,2.22193732217615,3.23776117549222,1.40592853267504,4.07931275846312,3.31960591844803,5.01288194748726,1195
24,0.940462305405385,0.0976979953013789,2.56116518518648,2.11483702597555,3.10168917285029,1.57712333826861,4.84100981422273,3.97847525988431,5.89054210232347,1197
25,1.11226940877358,0.0902598165078498,3.04125241371329,2.54813933216205,3.62979218882397,1.68442547899811,5.38935374582177,4.43755154980735,6.5453062283556,1211
26,0.840459963333742,0.101814145862569,2.31743266572803,1.89820348436217,2.82925102836797,1.64608149757898,5.18661618766261,4.26056035437576,6.31395526424019,1187
27,0.918538965652274,0.0983109464710872,2.50562690737679,2.0664931729426,3.0380773966123,1.56283039958055,4.77230969063439,3.92756171915526,5.79874777581377,1203
28,1.01858808644546,0.0939005483627617,2.76928201556894,2.30376880679516,3.32885958831173,1.50383102440316,4.4988914608833,3.66247286470712,5.52632746356942,1236
29,1.07221584775431,0.0913409763694081,2.92184669961373,2.44291213049067,3.49467671370109,1.67422155859038,5.33464082700961,4.40551672186205,6.45971733848497,1252
30,0.950575129983303,0.0972262644582925,2.58719720619444,2.13830862266986,3.13031959595373,1.76804217086275,5.85937047804089,4.85350634782114,7.0736947556172,1211
